Age,Gender,Occupation,Daily_Screen_Time_Hours,Sleep_Hours_Per_Night,Exercise_Frequency,Social_Interactions_Per_Week,Self_Reported_Stress_Level,Meditation_Practice,Caffeine_Intake_Daily,BMI_Category,Has_Chronic_Condition,Exercise_Frequency_Num,Meditation_Num,Caffeine_Num,BMI_Num,wellbeing_index,risk_behaviour_score
25,Male,Remote Worker,5.8,4.8,,18,10,Yes,2-3 cups,Normal,No,,1,2.0,0,,7.8
44,Male,Remote Worker,12.5,4.7,1-2x/week,18,3,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.33961988304093566,14.5
44,Male,Student,9.4,3.8,,17,3,No,1 cup,Normal,Yes,,0,1.0,0,,10.4
51,Prefer not to say,Healthcare,5.7,6.2,Daily,19,5,No,1 cup,Obese,No,3.0,0,1.0,1,0.7,7.7
38,Male,Healthcare,13.7,9.8,3-5x/week,15,5,No,1 cup,Normal,No,2.0,0,1.0,0,0.6223684210526317,14.7
47,Female,Unemployed,11.8,5.5,1-2x/week,7,10,No,,Normal,No,1.0,0,,0,0.41154970760233917,
50,Male,Unemployed,4.7,5.8,,0,3,No,1 cup,Overweight,No,,0,1.0,2,,7.7
45,Female,Student,10.0,8.8,3-5x/week,16,9,No,,Normal,No,2.0,0,,0,0.718859649122807,
64,Female,Student,9.3,4.8,3-5x/week,11,4,No,,Obese,Yes,2.0,0,,1,0.40307017543859647,
50,Female,Engineer,6.6,11.1,3-5x/week,10,3,No,4+ cups,Overweight,No,2.0,0,3.0,2,0.5371345029239766,11.6
22,Female,Unemployed,6.1,7.7,,4,2,No,1 cup,Normal,No,,0,1.0,0,,7.1
77,Male,Remote Worker,5.8,7.0,1-2x/week,11,10,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.5058479532163742,9.8
78,Male,Healthcare,9.6,8.0,,16,9,No,1 cup,Underweight,No,,0,1.0,3,,13.6
65,Non-binary,Student,7.2,4.5,,5,4,Yes,1 cup,Normal,No,,1,1.0,0,,8.2
36,Female,Healthcare,12.6,8.5,3-5x/week,0,3,No,1 cup,Normal,No,2.0,0,1.0,0,0.33333333333333337,13.6
21,Prefer not to say,Healthcare,10.4,6.3,3-5x/week,4,7,No,,Normal,Yes,2.0,0,,0,0.4359649122807017,
52,Male,Engineer,2.0,11.1,1-2x/week,13,8,No,,Overweight,No,1.0,0,,2,0.5904970760233917,
66,Female,Unemployed,10.0,4.5,3-5x/week,4,2,Yes,2-3 cups,Obese,No,2.0,1,2.0,1,0.2470760233918129,13.0
34,Non-binary,Student,4.8,7.6,1-2x/week,0,7,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.2944444444444444,6.8
61,Male,Healthcare,9.3,8.4,1-2x/week,17,5,Yes,1 cup,Normal,Yes,1.0,1,1.0,0,0.4847953216374269,10.3
45,Male,Student,10.5,3.3,1-2x/week,15,5,No,1 cup,Obese,No,1.0,0,1.0,1,0.31681286549707605,12.5
47,Female,Remote Worker,4.2,6.3,Daily,8,3,Yes,4+ cups,Normal,Yes,3.0,1,3.0,0,0.5024853801169591,7.2
46,Female,Engineer,7.4,9.6,,18,5,No,,Normal,No,,0,,0,,
63,Female,Remote Worker,3.7,10.4,Daily,4,2,No,1 cup,Normal,No,3.0,0,1.0,0,0.5359649122807018,4.7
70,Male,Student,1.7,5.8,3-5x/week,1,4,No,1 cup,Obese,Yes,2.0,0,1.0,1,0.2992690058479532,3.7
23,Female,Student,6.3,10.2,,14,6,Yes,2-3 cups,Normal,No,,1,2.0,0,,8.3
52,Male,Unemployed,6.1,11.7,1-2x/week,6,1,Yes,4+ cups,Overweight,Yes,1.0,1,3.0,2,0.32061403508771924,11.1
77,Male,Healthcare,14.9,10.7,3-5x/week,3,10,No,1 cup,Overweight,No,2.0,0,1.0,2,0.6283625730994151,17.9
58,Male,Healthcare,7.2,4.1,1-2x/week,0,4,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.11388888888888887,9.2
54,Female,Remote Worker,5.7,9.7,Daily,12,6,No,2-3 cups,Normal,Yes,3.0,0,2.0,0,0.7328947368421053,7.7
41,Female,Engineer,9.1,5.9,Daily,19,9,Yes,1 cup,Overweight,Yes,3.0,1,1.0,2,0.8027777777777778,12.1
46,Female,Healthcare,2.2,11.9,1-2x/week,6,2,No,1 cup,Normal,No,1.0,0,1.0,0,0.3539473684210527,3.2
66,Male,Unemployed,14.5,7.4,1-2x/week,14,7,Yes,1 cup,Overweight,Yes,1.0,1,1.0,2,0.47309941520467835,17.5
63,Female,Remote Worker,9.9,4.1,Daily,13,6,Yes,4+ cups,Obese,Yes,3.0,1,3.0,1,0.5904970760233919,13.9
70,Male,Remote Worker,11.6,9.5,1-2x/week,18,2,No,,Overweight,No,1.0,0,,2,0.4451754385964912,
48,Female,Unemployed,3.4,5.9,,19,8,No,2-3 cups,Overweight,No,,0,2.0,2,,7.4
52,Male,Engineer,6.7,12.0,,17,7,Yes,1 cup,Overweight,No,,1,1.0,2,,9.7
77,Male,Unemployed,6.9,11.8,1-2x/week,9,5,Yes,2-3 cups,Overweight,Yes,1.0,1,2.0,2,0.4739766081871345,10.9
50,Female,Engineer,12.5,8.9,Daily,8,5,Yes,1 cup,Normal,No,3.0,1,1.0,0,0.6302631578947369,13.5
69,Male,Unemployed,1.0,4.2,3-5x/week,7,7,No,1 cup,Underweight,Yes,2.0,0,1.0,3,0.4171052631578947,5.0
78,Female,Unemployed,5.2,9.2,1-2x/week,9,9,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.5128654970760234,7.2
38,Female,Student,14.7,3.8,,16,9,Yes,2-3 cups,Overweight,No,,1,2.0,2,,18.7
49,Male,Remote Worker,7.6,3.3,,1,9,Yes,2-3 cups,Normal,No,,1,2.0,0,,9.6
40,Female,Unemployed,6.4,10.4,3-5x/week,5,6,No,,Overweight,Yes,2.0,0,,2,0.535233918128655,
50,Male,Unemployed,2.7,4.9,,4,10,No,2-3 cups,Normal,No,,0,2.0,0,,4.7
20,Female,Healthcare,14.6,6.4,,8,6,No,,Overweight,No,,0,,2,,
35,Non-binary,Remote Worker,1.3,11.8,,4,3,Yes,1 cup,Normal,No,,1,1.0,0,,2.3
42,Female,Healthcare,11.3,6.0,1-2x/week,17,1,Yes,1 cup,Overweight,No,1.0,1,1.0,2,0.3070175438596491,14.3
59,Male,Remote Worker,11.8,5.7,Daily,19,7,No,1 cup,Normal,No,3.0,0,1.0,0,0.7416666666666667,12.8
48,Non-binary,Healthcare,4.4,11.3,,8,4,No,1 cup,Normal,Yes,,0,1.0,0,,5.4
71,Female,Unemployed,10.4,4.0,1-2x/week,16,1,Yes,4+ cups,Normal,Yes,1.0,1,3.0,0,0.23830409356725146,13.4
75,Male,Unemployed,2.3,9.8,1-2x/week,16,8,No,,Overweight,No,1.0,0,,2,0.593859649122807,
20,Male,Student,4.6,11.9,Daily,11,6,Yes,2-3 cups,Normal,No,3.0,1,2.0,0,0.7808479532163742,6.6
57,Female,Healthcare,12.0,11.1,,6,6,No,1 cup,Normal,No,,0,1.0,0,,13.0
63,Female,Engineer,13.1,8.9,1-2x/week,2,2,No,,Obese,No,1.0,0,,1,0.21798245614035092,
41,Female,Student,9.5,5.8,1-2x/week,9,1,Yes,,Overweight,No,1.0,1,,2,0.1961988304093567,
67,Female,Healthcare,8.1,5.3,3-5x/week,1,2,No,4+ cups,Obese,No,2.0,0,3.0,1,0.22982456140350876,12.1
49,Female,Healthcare,3.2,10.4,1-2x/week,2,4,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.31520467836257304,5.2
64,Male,Student,1.9,10.9,,15,2,No,4+ cups,Normal,No,,0,3.0,0,,4.9
